TP9,AF7,AF8,TP10
-62.01171875,-65.4296875,-63.4765625,-62.98828125
-63.4765625,-74.70703125,-60.05859375,-52.24609375
-66.89453125,-65.4296875,-53.7109375,-46.875
-63.4765625,-18.06640625,-50.29296875,-43.9453125
-54.19921875,-47.36328125,-47.8515625,-49.31640625
-59.08203125,-79.58984375,-49.8046875,-62.98828125
-61.5234375,-66.40625,-56.640625,-66.89453125
-56.640625,-72.265625,-57.6171875,-62.01171875
-61.03515625,-47.36328125,-53.7109375,-65.91796875
-51.7578125,-47.8515625,-51.26953125,-71.2890625
-42.96875,-64.94140625,-57.6171875,-73.2421875
-52.24609375,-64.453125,-62.5,-77.1484375
-52.24609375,-58.10546875,-62.01171875,-72.265625
-54.19921875,-48.33984375,-62.5,-63.4765625
-64.94140625,-50.78125,-63.4765625,-60.546875
-54.19921875,-42.48046875,-57.6171875,-58.59375
-49.31640625,-65.4296875,-47.36328125,-49.31640625
-62.5,-71.77734375,-46.38671875,-45.41015625
-60.05859375,-38.57421875,-47.36328125,-47.36328125
-56.640625,-47.36328125,-42.96875,-55.17578125
-51.7578125,-60.05859375,-43.45703125,-61.5234375
-57.12890625,-61.5234375,-51.7578125,-58.10546875
-68.359375,-67.3828125,-52.24609375,-46.875
-62.01171875,-41.9921875,-47.8515625,-38.57421875
-52.24609375,-26.3671875,-45.41015625,-43.9453125
-42.96875,-62.01171875,-44.43359375,-49.31640625
-43.45703125,-51.7578125,-48.33984375,-41.015625
-53.22265625,-15.625,-45.41015625,-27.83203125
-60.05859375,-41.015625,-39.55078125,-21.97265625
-59.5703125,-53.22265625,-43.45703125,-46.38671875
-47.8515625,-56.15234375,-45.8984375,-70.3125
-52.24609375,-61.03515625,-43.45703125,-62.01171875
-61.5234375,-48.33984375,-42.48046875,-43.9453125
-50.78125,-35.64453125,-43.9453125,-48.33984375
-52.734375,-38.57421875,-50.78125,-59.5703125
-51.7578125,-45.8984375,-48.33984375,-51.7578125
-42.48046875,-60.546875,-46.38671875,-55.17578125
-50.78125,-76.171875,-46.38671875,-63.96484375
-61.03515625,-44.43359375,-44.43359375,-56.15234375
-58.59375,-17.578125,-43.45703125,-52.734375
-52.24609375,-64.453125,-44.43359375,-61.03515625
-50.78125,-84.47265625,-48.33984375,-59.5703125
-51.26953125,-61.03515625,-47.8515625,-48.828125
-53.22265625,-48.828125,-47.36328125,-49.8046875
-53.7109375,-44.43359375,-49.31640625,-53.22265625
-45.41015625,-46.38671875,-47.36328125,-49.8046875
-38.57421875,-55.6640625,-45.41015625,-49.8046875
-53.22265625,-63.96484375,-45.41015625,-45.41015625
-62.01171875,-44.43359375,-44.43359375,-44.43359375
-54.6875,-36.1328125,-41.015625,-47.8515625
-52.24609375,-55.17578125,-43.45703125,-49.31640625
-48.828125,-40.52734375,-47.36328125,-40.52734375
-48.828125,-45.8984375,-47.8515625,-25.87890625
-55.17578125,-69.82421875,-48.828125,-34.66796875
-50.78125,-54.6875,-45.41015625,-42.48046875
-43.45703125,-40.0390625,-38.0859375,-32.2265625
-38.57421875,-48.828125,-41.015625,-56.15234375
-41.015625,-62.5,-48.33984375,-74.70703125
-49.8046875,-52.734375,-48.828125,-58.10546875
-50.78125,-45.41015625,-48.828125,-52.24609375
-46.875,-55.17578125,-50.78125,-52.24609375
-45.41015625,-61.03515625,-54.6875,-61.03515625
-48.828125,-52.24609375,-51.26953125,-73.2421875
-38.57421875,-19.53125,-46.875,-69.3359375
-38.0859375,-32.71484375,-49.31640625,-63.4765625
-53.22265625,-44.43359375,-46.875,-55.17578125
-49.31640625,-35.64453125,-48.828125,-53.22265625
-45.41015625,-68.84765625,-44.921875,-52.24609375
-50.78125,-65.4296875,-38.57421875,-39.0625
-55.17578125,-39.0625,-40.0390625,-41.9921875
-45.41015625,-33.69140625,-35.64453125,-48.828125
-51.26953125,-51.7578125,-35.64453125,-49.8046875
-55.17578125,-61.03515625,-43.9453125,-38.0859375
-53.22265625,-62.01171875,-44.921875,-28.3203125
-61.03515625,-36.1328125,-40.0390625,-29.78515625
-54.19921875,-15.625,-40.52734375,-30.2734375
-52.734375,-62.5,-44.921875,-49.8046875
-52.24609375,-79.58984375,-46.875,-55.6640625
