TP9,AF7,AF8,TP10
-61.5234375,-46.875,-38.57421875,-49.31640625
-60.05859375,-38.0859375,-42.48046875,-46.38671875
-61.5234375,-38.57421875,-53.7109375,-55.6640625
-58.59375,-46.875,-50.29296875,-56.640625
-53.7109375,-55.6640625,-41.9921875,-47.36328125
-47.36328125,-49.31640625,-45.8984375,-39.55078125
-47.36328125,-37.59765625,-54.6875,-42.48046875
-48.828125,-39.0625,-54.6875,-44.43359375
-50.29296875,-49.8046875,-41.50390625,-36.62109375
-63.96484375,-62.01171875,-39.55078125,-45.8984375
-67.87109375,-61.5234375,-43.9453125,-51.26953125
-61.5234375,-55.6640625,-41.9921875,-41.9921875
-55.17578125,-54.6875,-41.015625,-34.1796875
-54.6875,-49.8046875,-45.41015625,-40.0390625
-52.734375,-47.8515625,-47.8515625,-42.96875
-52.734375,-51.26953125,-41.50390625,-45.8984375
-57.6171875,-50.78125,-40.0390625,-58.10546875
-55.17578125,-47.8515625,-42.96875,-61.03515625
-67.3828125,-44.43359375,-45.41015625,-73.73046875
-72.75390625,-43.45703125,-44.43359375,-74.21875
-63.4765625,-44.43359375,-47.8515625,-63.4765625
-61.5234375,-42.48046875,-49.8046875,-62.01171875
-57.6171875,-39.0625,-41.9921875,-61.5234375
-60.546875,-47.8515625,-42.96875,-66.40625
-69.3359375,-53.7109375,-43.9453125,-68.359375
-67.3828125,-57.6171875,-41.015625,-59.5703125
-55.6640625,-55.17578125,-44.43359375,-52.734375
-52.24609375,-44.921875,-49.8046875,-51.7578125
-63.4765625,-54.19921875,-60.546875,-63.4765625
-60.05859375,-58.59375,-61.03515625,-59.5703125
-49.8046875,-53.22265625,-47.36328125,-44.921875
-52.24609375,-50.78125,-42.96875,-46.875
-44.921875,-50.78125,-41.50390625,-42.48046875
-41.015625,-51.26953125,-49.8046875,-42.48046875
-54.6875,-51.26953125,-55.6640625,-50.78125
-60.546875,-53.7109375,-54.19921875,-53.22265625
-58.10546875,-46.875,-56.640625,-48.828125
-54.6875,-37.59765625,-49.8046875,-52.24609375
-52.734375,-42.48046875,-43.9453125,-58.10546875
-56.15234375,-44.921875,-53.7109375,-62.5
-61.03515625,-40.52734375,-57.12890625,-72.265625
-56.15234375,-38.57421875,-48.828125,-70.3125
-46.38671875,-31.25,-49.31640625,-60.05859375
-43.45703125,-30.2734375,-48.33984375,-55.6640625
-48.33984375,-39.55078125,-48.33984375,-58.59375
-48.33984375,-43.9453125,-52.24609375,-62.01171875
-44.43359375,-46.875,-51.26953125,-59.5703125
-41.015625,-47.36328125,-53.22265625,-54.6875
-35.64453125,-40.52734375,-53.7109375,-46.38671875
-34.66796875,-36.62109375,-49.8046875,-43.45703125
-44.43359375,-43.9453125,-52.24609375,-44.921875
-45.8984375,-48.828125,-53.22265625,-39.55078125
-40.52734375,-43.45703125,-47.36328125,-34.66796875
-39.55078125,-40.0390625,-43.45703125,-32.71484375
-44.921875,-41.9921875,-44.43359375,-36.62109375
-53.7109375,-53.7109375,-54.19921875,-41.9921875
-52.24609375,-57.6171875,-57.6171875,-39.0625
-49.8046875,-50.29296875,-56.640625,-41.015625
-44.921875,-44.921875,-55.17578125,-44.43359375
-40.52734375,-42.96875,-52.734375,-41.015625
-47.36328125,-43.45703125,-47.36328125,-45.41015625
-55.17578125,-49.8046875,-47.8515625,-50.78125
-46.875,-50.78125,-46.38671875,-46.38671875
-44.43359375,-46.875,-41.015625,-47.36328125
-49.8046875,-49.31640625,-44.921875,-60.05859375
-45.41015625,-50.29296875,-50.78125,-60.05859375
-45.8984375,-53.22265625,-41.50390625,-49.8046875
-38.0859375,-56.15234375,-33.203125,-43.45703125
-26.85546875,-43.9453125,-39.55078125,-38.57421875
-37.59765625,-41.50390625,-46.875,-48.828125
-45.41015625,-49.8046875,-54.6875,-57.12890625
-37.109375,-49.8046875,-59.5703125,-45.8984375
-30.2734375,-48.828125,-48.828125,-25.87890625
-35.15625,-44.43359375,-42.96875,-22.4609375
